experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
sf_scaling,Q4,4.0,32,128,EJDG,"opt_presort_orders=on,opt_encode_priority=on",0.0,0.0,9.93313,0.15002,9.93313,0.15002,0.0151,5,9.93313,1.0,True
sf_scaling,Q4,8.0,32,128,E,"opt_presort_orders=on,opt_encode_priority=on",2.3642,0.0408,1.17991,0.00926,3.54741,0.04034,0.0114,5,19.62394,5.5319,True
sf_scaling,Q4,8.0,32,128,EJDG,"opt_presort_orders=on,opt_encode_priority=on",0.0,0.0,19.62394,0.34539,19.62394,0.34539,0.0176,5,19.62394,1.0,True
sf_scaling,Q4,16.0,32,128,E,"opt_presort_orders=on,opt_encode_priority=on",4.78364,0.06895,2.42172,0.03205,7.19389,0.07152,0.0099,5,30.53225,4.2442,True
sf_scaling,Q4,16.0,32,128,EJDG,"opt_presort_orders=on,opt_encode_priority=on",0.0,0.0,30.53225,0.22007,30.53225,0.22007,0.0072,5,30.53225,1.0,True
sf_scaling,Q6,1.0,32,32,SQ,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.07784,0.0055,0.00224,0.00012,0.07998,0.00552,0.0691,5,0.27958,3.4958,True
sf_scaling,Q6,1.0,32,32,SDQA,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.0,0.0,0.27958,0.04054,0.27958,0.04054,0.145,5,0.27958,1.0,True
sf_scaling,Q6,2.0,32,32,SQ,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.14587,0.01594,0.00376,0.00045,0.14955,0.01579,0.1056,5,0.46159,3.0865,True
sf_scaling,Q6,2.0,32,32,SDQA,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.0,0.0,0.46159,0.04361,0.46159,0.04361,0.0945,5,0.46159,1.0,True
sf_scaling,Q6,4.0,32,32,SQ,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.33309,0.03142,0.00673,0.00034,0.33989,0.03126,0.092,5,0.98704,2.904,True
sf_scaling,Q6,4.0,32,32,SDQA,"opt_presort=on,opt_precompute=on,opt_qty_premask=on",0.0,0.0,0.98704,0.1227,0.98704,0.1227,0.1243,5,0.98704,1.0,True
