experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
n_scaling,Q11,1.0,64,64,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.38856,0.00969,0.38856,0.00969,0.0249,5,0.38856,1.0,True
n_scaling,Q11,1.0,128,128,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02588,0.00242,0.01118,0.00398,0.03912,0.00254,0.0649,5,0.77155,19.7207,True
n_scaling,Q11,1.0,128,128,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.67361,0.01471,0.67361,0.01471,0.0218,5,0.77155,1.1454,True
n_scaling,Q11,1.0,128,128,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,5.88468,0.02051,5.88468,0.02051,0.0035,5,0.77155,0.1311,True
n_scaling,Q11,1.0,128,128,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.77155,0.02586,0.77155,0.02586,0.0335,5,0.77155,1.0,True
n_scaling,Q11,1.0,256,256,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02457,0.0016,0.02069,0.00555,0.04633,0.00452,0.0975,5,1.49025,32.1642,True
n_scaling,Q11,1.0,256,256,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,1.28512,0.03227,1.28512,0.03227,0.0251,5,1.49025,1.1596,True
n_scaling,Q11,1.0,256,256,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,11.8179,0.0082,11.8179,0.0082,0.0007,5,1.49025,0.1261,True
n_scaling,Q11,1.0,256,256,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,1.49025,0.01533,1.49025,0.01533,0.0103,5,1.49025,1.0,True
n_scaling,Q11,1.0,512,512,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02448,0.00175,0.05164,0.01521,0.07487,0.0164,0.2191,5,2.97793,39.775,True
